	Awa Pit	Cha'palaa	Guambiano	Totoro	Tsafiki
1-21. the land	45	45			45
1-212. the soil	53	45	53	53	45
1-214. the mud		62			62
1-22. the mountain or hill	67		65	67	65
1-28. the cave	66	76			76
1-31. the water	84	84	84	84	84
1-323. rough(2)		80			80
1-324. the foam		73			73
1-33. the lake		74	74		74
1-36. the river or stream		81		81	81
1-37. the spring or well			86	86	
1-38. the swamp	87		110	110	87
1-39. the waterfall		105	105		105
1-41. the woods or forest		93			93
1-411. the savanna		95	95		
1-43. the wood		112			112
1-44. the stone or rock	117	117	117	117	117
1-51. the sky			122	122	
1-52. the sun	128	128	127	127	
1-53. the moon	113	113	113	113	113
1-55. the lightning	119	118	118		118
1-56. the thunder	124	140	123	123	140
1-59. the rainbow			126	126	
1-62. the darkness		129			
1-72. the wind			139	139	
1-73. the cloud	161		161	161	
1-74. the fog	148	148	148	148	
1-75. the rain		150	150	150	150
1-81. the fire		160	159	159	160
1-83. the smoke			163	163	
1-84. the ash			189	189	
1-88. the firewood	179	179	179	179	
10-23. to fall		197	197	197	
10-25. to throw	210	206	210		210
10-253. to catch		254	254		
10-32. to flow		240	240		
10-35. to swim	217	217			
10-37. to fly	228	229	228		229
10-38. to blow	261	231	261	261	231
10-41. to crawl		233			233
10-43. to jump			264	264	
10-44. to dance	239				240
10-45. to walk		250	248		250
10-46. to run			284	284	
10-47. to go	253	253	253	253	253
10-471. to go up	283	283	283		283
10-472. to climb		258			258
10-474. to go out		260			260
10-48. to come	266	266	266	266	266
10-481. to come back		268			268
10-491. to disappear		271			271
10-55. to arrive	273		273		
10-57. to enter	309	310	282	282	310
10-61. carry	279	278			278
10-63. to send		296	295		296
10-67. to push		329			329
10-71. the road		331			331
10-72. the path	297	297		297	297
10-74. the bridge	298			298	
11-11. to have	356	356			355
11-14. to grasp		353			353
11-15. to hold	321		321	321	
11-16. to get		360			360
11-21. to give	364	364	327	327	364
11-32. to find	338	339			
11-43. the money			420	420	
11-81. to buy	352		352		
12-011. behind	372	372			372
12-013. at		420			419
12-03. down	384	384			384
12-04. before			391		390
12-07. under	402		404		398
12-08. up	405	410	406	411	
12-081. above			493	493	
12-12. to put	410	412	412		412
