	Awa Pit	Cha'palaa	Guambiano	Totoro	Tsafiki
1-21. the land	su	tu			to
1-212. the soil	pil	tu	pirɨ	pirɨ	to
1-214. the mud		pijpa			pipa
1-22. the mountain or hill	ɨnkal		tun	kau	du
1-28. the cave	pilkul	tujuru			foro
1-31. the water	pii	pi	pi	pi	pi
1-323. rough(2)		dera			derin
1-324. the foam		chiipujpu			pupu
1-33. the lake		kaapijula	pisu		pipilu
1-36. the river or stream		pi		nopi	pi
1-37. the spring or well			pikap	pikap	
1-38. the swamp	mantam		chillik	chillik	mudu
1-39. the waterfall		pipayu	piur		paru
1-41. the woods or forest		jele			jelen
1-411. the savanna		ishta'pala	pupila		
1-43. the wood		chi			chi
1-44. the stone or rock	uk	shupuka	sruk	sruk	su
1-51. the sky			srɨmpalasrɨ	palasrɨ	
1-52. the sun	pa	pajta	pɨsr	pɨsr	
1-53. the moon	palapzha	kepe pajta	pɨl	pɨl	pe
1-55. the lightning	ippa	pidya	pilan		pinda
1-56. the thunder	pampa	kuidya	palaik	palaik	kunta
1-59. the rainbow			kɨshiɨmpɨtɨ	kishimpur	
1-62. the darkness		yapij			
1-72. the wind			isik	isik	
1-73. the cloud	wanish		wañi	wañi	
1-74. the fog	wanish	waañiwicha	wañi	wañi	
1-75. the rain		shuwa	sre	sre	suwa
1-81. the fire		ni	nak	nakɨ	nin
1-83. the smoke			nakkisr	nakish	
1-84. the ash			usrɨ	usrɨ	
1-88. the firewood	sɨ	te	trar	trɨ	
10-23. to fall		pai	peñip	peñip	
10-25. to throw	watna	ke'eenu	wayip		wala
10-253. to catch		ka	kemɨrɨp		
10-32. to flow		llunu	lulɨp		
10-35. to swim	piikam	pipe			
10-37. to fly	pɨl	jeke	palaip		ja
10-38. to blow	us	jui	utrɨp	otrɨp	furipo
10-41. to crawl		telenchiji			telen
10-43. to jump			pɨrtrap	pɨrtrap	
10-44. to dance	ku ki				tera ki
10-45. to walk		ne	uñip		nena
10-46. to run			lulɨp	lulɨp	
10-47. to go	ɨ	ji	ip	ip	ji
10-471. to go up	nu	lu	nepip		lo
10-472. to climb		lu			lo
10-474. to go out		la			la
10-48. to come	a	ja	atrup	atrɨp	ja
10-481. to come back		maa			manja
10-491. to disappear		piya			piya
10-55. to arrive	pyana		pup		
10-57. to enter	nap	wi	kepyan	kepan	wi
10-61. carry	iŋ	pan			pana
10-63. to send		ere	karup		ere
10-67. to push		tyulee			tuli
10-71. the road		miñu			minu
10-72. the path	mii	miñu		mai	minu
10-74. the bridge	pyan			piontsik	
11-11. to have	mɨj	miya			ta
11-14. to grasp		ka			ka
11-15. to hold	mu		metrɨp	metrɨp	
11-16. to get		ka			ka
11-21. to give	kwin	ku	tranɨp	tranip	kuwa
11-32. to find	tɨta	kata			
11-43. the money			an	an	
11-81. to buy	pay		penap		
12-011. behind	punsɨh	bene			bene
12-013. at		sha			ka
12-03. down	pulamal	pele			pele
12-04. before			mira		ma'tu
12-07. under	puta		umpu		tenpe
12-08. up	kwashpa	feka	wasrin	ponɨ	
12-081. above			pala	pala	
12-12. to put	win	pu	pusrap		po
12-13. to sit		chu	wap	wap	chu
12-14. to lie down	tu	tsu	tsup	tsop	tso
12-15. to stand	pana		pasrap		wiru
12-27. to hide			trupap		tsapo
12-36. the side	kwaka	kapa			
12-37. the middle		kejtala			kitsa
12-41. right(1)			kusrmei	kotrmai	
12-42. left	kwiyamal	jalan	atsimei	kusmai	jala
12-43. near		kale	pulu		kelo
12-44. far		bare	yap	yapsrɨ	hare
12-53. to grow		awaa			owa
12-55. big		aawa	nu	no	wa
12-56. small		na	unɨ	unɨ	na
12-57. long		bare	yupik	yapik	baren
12-61. wide			lentik	kwaliktik	
12-62. narrow		dij	trak		
12-63. thick				tsal	
12-65. thin		ejkeke		kɨlɨktik	
12-73. straight	nil		ɨl		
12-75. the hook		beru			berun
12-81. round		puka	pɨtɨtul		
12-82. the circle		tiriri			torinkan
12-84. the line		shilli			sili
12-85. the hole		juru	trap	pirɨtrap	foro
12-92. similar		tsan			tsan
13-01. one	maza	ma	kan	kana	man
13-02. two	paas	pallu	pa	pa	palu
13-03. three		pema	pɨn	pɨn	peman
13-04. four		taapallu	pip	pir	junpalu
13-05. five		manda			mante
13-101. eleven		paitya main	tsi kan		chunka man
13-102. twelve		paitya pallu			chunka palu
13-103. fifteen		paitya manda			chunka mante
13-104. twenty			pa tsi		palu chunka
13-15. many		pure'		parɨ	
13-17. few	pitshiŋ		lamɨtɨ		
13-181. some	mɨnat	mantsa			
13-21. full		tyuwawu	netsik	netsɨ	tuwan
13-34. first		ajkesha			kasa
13-35. last			trape		debi
14-13. new		kasa	srɨ	sriik	ka'san
14-15. old	ɨnkwa		kɨllik	kilik	onika
14-18. now	ma			mɨi	aman
14-19. immediately		yuma			aman
14-21. fast			mur		moora
14-23. to hurry		te' ji			
14-35. again	manaz	manen			
14-41. the day(1)		malu			ma
14-42. the night	amta	kepe	yem	yem	kebi
14-43. the dawn		cha			tsebi
14-44. the morning		kepenene			ke´pinan
14-47. today	ma payu	uma	mɨi	mɨi	amana
14-48. tomorrow		ayu			ayun
14-49. yesterday	anshik	kishi			kisin
15-21. to smell(1)	pya	ishka	itrɨmɨrɨp	itrɨmɨrɨp	puba
15-37. bitter		sa			tsanban
15-38. sour		sa			siwi
15-41. to hear	mɨ	mera	mɨrip	mɨrɨp	mera
15-42. to listen	mɨna	mera	mɨrip		mera
15-44. the sound or noise		para			mera
15-46. quiet		dus			nosa
15-51. to see	izh	kera	aship	aship	kira
15-52. to look		kera			kira
15-55. to show		keewa			kirawo
15-56. to shine		pidya			pinda
15-64. white		fibaba	pulik	pulitik	fibakan
15-65. black		pababa	yalik	yalɨ	pabakan
15-66. red		llubaba	pikik	pikitik	luban
15-67. blue		lushkatata			lo'siban
15-69. yellow	na-tam	lake	ɨskɨik	ɨskɨtik	
15-71. to touch		ta'ka			takira
15-72. to feel		ten			ten
15-75. soft		nakususu			
15-77. smooth	sɨnam				layun
15-78. sharp	tizh	tyaya	trɨsr		teja
15-81. heavy		adyu			hadon
15-83. wet	paktam		srekwaik	latrɨkwai	a'tan
15-84. dry	pul		pur	mul	
15-85. hot			pachitrik	pachik	
15-86. cold		isha			i'san
15-88. dirty			chillik	chilliktik	
16-25. to laugh	ishan		intrap		
16-26. to play	sal				tensa
16-29. to kiss		esti			moti
16-37. to cry		ware	kiship	kis'ip	ware
16-38. the tear	kappi	kapi			ka' pin
16-53. the fear		jele			jele
