	Danish	Dutch	Elfdalian	English	Frisian	German	Hindi	Russian	Spanish	Swedish
ANT	272	272	272	1617	1617	1617	2354	272	272	272
ASH	285	285	285	285	285	285	2355	3869	1	4161
BACK	1413	1413	1413	1618	1413	1413	598	904	3541	1413
BAD	1414	1533	1414	1619	1734	1533	989	3870	274	1612
BARK	1415	1534	1415	1620	1698	2041	2356	492	275	4162
BELLY	1416	1142	1416	1142	1142	1142	990	343	276	1142
BIG	69	1535	69	1621	1535	1535	991	3871	277	69
BIRD	1417	1417	1417	1622	1417	1417	2357	906	308	1417
BITE	1418	1418	1418	1418	1418	1418	275	3872	279	1418
BITTER	1419	1418	1418	1418	1418	1418	2358	45	280	1418
BLACK	1420	1420	1420	1623	1420	1420	606	908	281	1420
BLOOD	1421	1421	1421	1421	1421	1421	1086	909	282	1421
BLOW	283	283	283	283	283	283	994	910	283	283
BONE	1422	8	1422	1422	1422	2026	995	911	13	1422
BREATHE	577	1536	577	1624	1735	1536	996	912	284	577
BURN	1423	1423	1423	1423	1423	1423	1073	45	285	1423
CARRY	5	1468	5	1625	1468	2042	2359	913	3334	5
CHEST	1261	1261	1261	1626	1261	1261	1088	914	287	1261
CHILD	5	646	1574	1627	5	646	1925	922	416	5
CLAW	1424	1424	1424	1424	1424	2028	1090	3873	4155	1424
CLOUD	1425	1250	1575	1628	1250	1250	1091	916	289	4163
COLD	317	317	317	317	317	317	615	917	290	317
COME	291	291	291	291	291	291	291	3874	291	291
COUNT	1426	1537	1576	1629	1426	1426	999	1355	292	4164
CRY	1427	1538	1577	1630	1538	2043	671	919	1320	1427
CUT	492	1539	1578	1631	1539	1539	275	920	375	492
DAY	15	15	15	15	15	15	295	295	295	15
DIE	822	822	822	1632	1699	1699	296	296	296	822
DIG	1428	1428	1428	1633	1428	1428	2360	78	1322	1428
DIRTY	1429	364	1579	1634	1736	2044	1093	3875	3460	1579
DO	1430	299	1430	299	299	2030	620	299	299	1430
DOG	300	300	1580	1635	300	300	2361	923	3543	300
DRINK	1431	1431	1431	1431	1431	1431	30	30	30	1431
DRY	303	1540	303	1540	1540	1540	675	675	285	303
DUST	1432	1541	1581	1636	1541	1541	1001	364	302	1432
EAR	33	33	33	33	33	33	621	33	33	33
EARTH	1433	1433	323	1433	1737	2045	2362	34	303	2045
EAT	439	439	439	439	439	439	622	439	439	439
EGG	36	36	36	1637	36	36	1002	36	36	36
EYE	37	37	37	37	37	37	37	3876	37	37
FALL	1434	1434	1434	1434	1434	1434	1094	315	305	1434
FAR	8	286	89	286	286	1506	327	89	4156	89
FAT	1435	1435	1435	1435	1435	1435	1003	3877	306	1435
FATHER	307	307	307	307	307	307	2363	1358	307	307
FEAR	1436	1542	1582	1638	477	477	905	926	3832	4165
FEATHER	308	308	308	308	308	308	1072	681	361	308
FIGHT	1437	1543	1583	1543	1543	2046	1095	905	1714	8
FIRE	1438	444	1438	444	444	444	928	928	310	1438
FISH	311	311	311	311	311	311	683	929	311	311
FIVE	47	47	47	47	47	47	47	47	47	47
FLOWER	312	312	312	1639	312	312	1005	930	312	312
FLY_N	1417	1417	1417	1417	1738	1417	624	49	49	1417
FLY_V	1417	1417	1417	1417	1417	1417	1006	3878	313	1417
FOG	1439	585	1584	1640	1739	431	1007	3879	431	1439
FOOT	315	315	315	315	315	315	315	288	8	315
FOREST	1440	250	1585	1246	1701	250	789	933	316	4166
FOUR	54	54	54	54	54	54	54	54	54	54
FREEZE	1441	1441	1586	1441	1441	1441	1096	206	317	1441
FRUIT	55	55	55	55	55	55	1009	56	318	55
FULL	56	56	56	56	56	56	5	56	56	56
GIVE	1442	1442	1442	1442	1442	1442	57	57	57	1442
GO	1443	1443	1443	1443	1443	1443	626	58	319	1443
GOOD	986	986	986	986	986	986	2364	3880	320	4167
GRASS	1444	1444	1444	1444	1444	1444	628	935	321	1444
GREEN	1445	1445	1445	1445	1445	1445	687	687	322	1445
GRIND	323	323	323	1641	323	323	688	323	323	323
GUTS	1446	1446	1587	1642	1740	2047	324	324	324	1446
HAIR	963	963	963	963	963	963	1098	690	1714	963
HAND	1447	1447	1588	1447	1447	1447	65	937	326	1447
HARD	275	275	1482	275	275	2048	1099	938	327	2048
HEAD	328	328	1589	328	328	2049	66	939	328	328
HEAR	1448	1448	1448	1448	1448	1448	460	1361	329	1448
HEART	330	330	330	330	330	330	875	330	330	330
HEAVY	941	1544	941	1643	1544	1544	5	941	1328	1544
HERE	462	462	462	462	462	462	693	462	8	462
HIDE	1449	1545	1590	1644	1741	605	1100	3881	299	1590
HIT	1437	390	1437	1645	1437	1453	2365	905	294	1437
HORN	66	66	66	66	66	66	66	942	66	66
HOT	45	45	45	1646	45	45	632	696	333	45
HOUSE	1450	1450	1450	1450	1450	1450	2366	466	1331	1450
HOW	74	74	74	74	74	74	74	74	74	74
HUNT	1451	1546	1451	1647	1546	1546	1015	3384	334	4168
I	76	76	76	76	76	76	635	76	76	76
ICE	1452	1452	1452	1452	1452	1452	1016	945	317	1452
KILL	1453	1437	1591	1648	822	822	296	17	1332	1453
KNEE	79	79	79	79	79	79	1101	946	365	79
KNOW	372	372	372	638	372	372	638	638	337	372
LAKE	1454	371	1454	1649	8	1454	2367	947	219	1454
LAUGH	1455	1455	1592	1455	1455	1455	1018	948	338	4169
LEAF	312	312	1593	1593	312	312	308	949	339	312
LEFT	1456	1547	1456	1650	1547	1547	639	435	3462	1456
LEG	1422	1422	1594	1651	315	1422	2368	288	3545	1422
LIE	950	950	950	950	950	950	1104	950	342	950
LIVE	1155	1548	1595	1595	1595	1595	343	343	343	1595
LIVER	1457	1457	1457	1457	1457	1457	1105	650	344	1457
LONG	89	89	89	89	89	89	1020	89	1333	89
LOUSE	1200	1200	1200	1200	1200	1200	642	951	345	1200
MAN	1458	1458	177	1458	1458	1458	8	326	34	177
MEAT	1459	1549	1596	1180	1742	1549	92	92	346	1459
MOON	706	706	1597	706	706	706	93	347	347	706
MOTHER	348	348	348	348	1743	348	2369	348	348	348
MOUNTAIN	378	1520	1520	1652	1520	1520	644	143	326	378
MOUTH	1460	1460	1460	1460	1744	1460	645	78	349	1460
NAIL	288	288	288	288	288	288	1107	288	288	288
NAME	227	227	227	227	227	227	227	227	227	227
NARROW	1461	8	1598	1653	1461	477	2370	477	477	1461
NAVEL	351	351	351	1142	351	351	1024	3103	351	351
NEAR	1462	1462	1462	1462	1702	2050	1110	953	8	2050
NECK	1463	1463	1463	1463	353	1463	2371	373	353	353
NEW	354	354	354	354	354	354	354	354	354	354
NIGHT	103	103	103	103	103	103	1027	103	103	103
NOSE	355	355	1599	355	355	355	355	355	355	355
NOT	1464	229	1464	229	229	229	229	229	229	1464
OLD	1465	1550	1465	1550	1550	1550	2372	69	179	1465
ONE	356	356	356	356	356	356	356	356	356	356
PERSON	1466	357	1466	357	1458	1458	1111	3815	34	357
PLAY	1467	1551	1467	1654	8	1551	647	1301	358	1467
PULL	1468	1552	1468	1655	1552	1150	1112	941	8	1468
PUSH	1469	1553	1600	1656	1745	2051	1113	1364	384	8
RAIN	1470	1470	1470	1470	1470	1470	2373	295	361	1470
RED	362	362	362	362	362	362	1031	3882	362	362
RIGHT	1471	390	1471	390	390	390	232	3883	390	1471
RIVER	1472	1554	1472	1554	1554	2035	649	959	959	409
ROOT	115	115	115	1657	115	115	2374	620	115	115
ROTTEN	1473	1555	1601	1658	1473	364	305	960	364	4170
ROUND	1474	1474	1474	1474	1474	1474	1033	961	365	1474
RUN	1475	959	1602	959	1746	959	1034	962	366	4171
