	Danish	Dutch	Elfdalian	English	Frisian	German	Hindi	Russian	Spanish	Swedish
ANT					'ɪ.əməldər		ʧĩʈi	mʊɾɐˈvʲej	oɾ'miɣa	
ASH	ˈasg̥ə	ɑs	ɑ̀skɑ	æʃɪz	ˈjɪskə	'aʃə	ɾɑkʰ	zɐˈɫɑ̈	θe'niθa	stɔft
BACK	ʁœɡ	rʏχ	rygː	bæk	rɛːx	'rijkn̩	piʈʰ	spʲiˈnɑ̈	es'palda	rʏgː
BAD	ˈilə	slɛχt		bæd	mɪn	ʃlɛçt	kʰəɾɑb	pɫɐˈxɔj	ˈmalo	und
BARK	b̥ɑːg̥ʰ	sχɔrs	bɑrk	bɑ:k	bɔst	'rɪndə	ʧʰɑl	kɐ'ɾɑ̈	koɾ'teθa	bark
BELLY	ˈmæːvə	bœyk	mɔ̀gɔ	bɛlɪ	buk	baŭx	peʈ	ʐɘˈvɔt		bʉ:k
BIG	ˈsd̥oˀɐ̯	ɣrot	stʉːr	bɪg	grøt	gro:s	bəɽɑ	bɐlʲ'ʂɔj	ˈɡɾann̪de	stuːr
BIRD	fuˀl	'voɣəl	fʉ́gɛl	bɜ:d	fuγəl	'fo:gl̩	pəkʃi	'ptʲitsɐ	'paxaɾo	ˈfo:gəl
BITE	ˈb̥iːðə	'bɛitə(n)	bɑ̀ɪtɑ	baɪt	'bitə	'baĭsn̩	kɑʈnɑ	kʊˈsɑ̈tsʲ	moɾ'ðeɾ	ˈbì:ta
BITTER					'bɪtər		kəɾɑ	ˈɡɔɾʲkʲij	a'maɾɣo	
BLACK	sɒ:d̥ʰ	zwɑrt	swɑrt	blæk	swat	ʃwart͜s	kɑlɑ	'tʃɔɾnɘj	'neɣɾo	svaʈː
BLOOD	b̥loˀð	blut	blʉəð	blʌd	blu.ət	blu:t	kʰun	kɾɔfʲ	'saŋgɾe	blu:d
BLOW	ˈb̥lɛːsə	'blazə(n)	blɔ̀ːsɑ	bləʊ	bla:zə		pʰũknɑ	dutsʲ	so'plaɾ	ˈblò:sa
BONE	b̥eˀn	ɣrat	bɪɛːn	bəʊn	'boŋkə	'knɔxn̩	ɦəɖːi	kɔsʲtsʲ	'weso	beːn
